bp,key,label,family,latency_ns,energy_nj,area_ge,ned,mred_pct,ed_max
15,aaxd,AAXD,approximate,61.549449,5.190784,684.0,2.97,6.61,49
15,inzed,INZeD,approximate,66.284022,5.733611,756.0,4.5,8.2,85
15,axdr1,AXDr1,approximate,77.331359,6.768375,882.0,1.32,4.32,51
15,axdr3,AXDr3,approximate,82.065932,7.056752,936.0,0.97,3.25,85
15,seerad4,SEERAD-4,approximate,91.535078,8.159369,1044.0,1.09,2.71,165
15,daxd,DAXD,approximate,86.800505,7.650469,990.0,7.44,16.39,240
15,sc,SC Divider,approximate,134348.8,20.447232,540.0,15.0,25.0,500
15,rapid,RAPID,approximate,6.288269,0.03,576.0,3.5,7.2,120
15,fpca3d,3D-FPCA,approximate,104.36635,8.376354,1530.0,2.5,5.8,60
16,exact_array,Exact Array,exact,171.488,19.325082,2048.0,0.0,0.0,0
16,exact_log,Exact Logarithmic,exact,5.7044,0.733208,1126.4,0.0,0.0,0
16,aaxd,AAXD,approximate,66.88032,5.913475,778.24,2.97,6.61,49
16,inzed,INZeD,approximate,72.02496,6.531878,860.16,4.5,8.2,85
16,axdr1,AXDr1,approximate,84.02912,7.710708,1003.52,1.32,4.32,51
16,axdr3,AXDr3,approximate,89.17376,8.039234,1064.96,0.97,3.25,85
16,seerad4,SEERAD-4,approximate,99.46304,9.295364,1187.84,1.09,2.71,165
16,daxd,DAXD,approximate,94.3184,8.715612,1126.4,7.44,16.39,240
16,sc,SC Divider,approximate,268697.6,40.894464,614.4,15.0,25.0,500
16,rapid,RAPID,approximate,6.4,0.0336,655.36,3.5,7.2,120
16,fpca3d,3D-FPCA,approximate,115.10176,9.54111,1740.8,2.5,5.8,60
17,exact_array,Exact Array,exact,185.4329,21.840482,2312.0,0.0,0.0,0
17,exact_log,Exact Logarithmic,exact,5.7044,0.779033,1271.6,0.0,0.0,0
17,aaxd,AAXD,approximate,72.318831,6.683188,878.56,2.97,6.61,49
17,inzed,INZeD,approximate,77.881818,7.382083,971.04,4.5,8.2,85
17,axdr1,AXDr1,approximate,90.862121,8.714352,1132.88,1.32,4.32,51
17,axdr3,AXDr3,approximate,96.425108,9.085641,1202.24,0.97,3.25,85
17,seerad4,SEERAD-4,approximate,107.551082,10.505272,1340.96,1.09,2.71,165
17,daxd,DAXD,approximate,101.988095,9.850057,1271.6,7.44,16.39,240
17,sc,SC Divider,approximate,537395.2,81.788928,693.6,15.0,25.0,500
17,rapid,RAPID,approximate,6.504955,0.0374,739.84,3.5,7.2,120
17,fpca3d,3D-FPCA,approximate,126.25831,10.781573,1965.2,2.5,5.8,60
18,exact_array,Exact Array,exact,199.6469,24.509535,2592.0,0.0,0.0,0
18,exact_log,Exact Logarithmic,exact,5.7044,0.824859,1425.6,0.0,0.0,0
18,aaxd,AAXD,approximate,77.862291,7.499918,984.96,2.97,6.61,49
18,inzed,INZeD,approximate,83.851698,8.284223,1088.64,4.5,8.2,85
18,axdr1,AXDr1,approximate,97.826981,9.779305,1270.08,1.32,4.32,51
18,axdr3,AXDr3,approximate,103.816388,10.195967,1347.84,0.97,3.25,85
18,seerad4,SEERAD-4,approximate,115.795202,11.789087,1503.36,1.09,2.71,165
18,daxd,DAXD,approximate,109.805795,11.0538,1425.6,7.44,16.39,240
18,sc,SC Divider,approximate,1074790.4,163.577856,777.6,15.0,25.0,500
