bit_precision,adder,label,family,latency_ns,energy_nj,area_ge
16,rbr,RBR,exact,2.194,0.488805,69.22
16,loa,LOA,approximate,1.9042,0.061232,8.845
16,ccba,CCBA,approximate,2.0489,0.050166,8.12
16,trua,TruA,approximate,1.7099,0.053713,7.54
16,gear,GeAr,approximate,2.2805,0.069148,11.424
16,csa,CSA,approximate,2.5004,0.06865,11.098
17,full,Full (RCA),exact,4.261,0.120048,17.0
17,sklansky,Sklansky,exact,4.6,0.250178,35.428
17,kogge,Kogge-Stone,exact,4.271,0.43699,61.882
17,carrysel,Carry-Select,exact,4.342,0.327923,46.437
17,rbr,RBR,exact,2.194,0.519356,73.546
17,loa,LOA,approximate,2.0173,0.064623,9.272
17,ccba,CCBA,approximate,2.2157,0.053571,8.705
17,trua,TruA,approximate,1.8115,0.056687,7.904
17,gear,GeAr,approximate,2.4714,0.077551,13.209
17,csa,CSA,approximate,2.6844,0.07443,12.24
18,full,Full (RCA),exact,4.5,0.127109,18.0
18,sklansky,Sklansky,exact,4.6,0.266386,37.723
18,kogge,Kogge-Stone,exact,4.271,0.478477,67.757
18,carrysel,Carry-Select,exact,4.342,0.347213,49.169
18,rbr,RBR,exact,2.194,0.549906,77.872
18,loa,LOA,approximate,2.1478,0.068649,9.882
18,ccba,CCBA,approximate,2.34,0.057009,9.298
18,trua,TruA,approximate,1.9286,0.060218,8.424
18,gear,GeAr,approximate,2.61,0.082113,13.986
18,csa,CSA,approximate,2.835,0.078808,12.96
19,full,Full (RCA),exact,4.739,0.134171,19.0
19,sklansky,Sklansky,exact,4.6,0.282637,40.024
19,kogge,Kogge-Stone,exact,4.271,0.522424,73.981
19,carrysel,Carry-Select,exact,4.342,0.366502,51.901
19,rbr,RBR,exact,2.194,0.580456,82.199
19,loa,LOA,approximate,2.2786,0.072674,10.492
19,ccba,CCBA,approximate,2.4643,0.060478,9.901
19,trua,TruA,approximate,2.0461,0.063749,8.944
19,gear,GeAr,approximate,2.7486,0.086674,14.763
19,csa,CSA,approximate,2.9856,0.083186,13.68
20,full,Full (RCA),exact,4.978,0.141233,20.0
20,sklansky,Sklansky,exact,4.6,0.298926,42.331
20,kogge,Kogge-Stone,exact,4.271,0.568967,80.572
20,carrysel,Carry-Select,exact,4.342,0.385792,54.632
20,rbr,RBR,exact,2.194,0.611007,86.525
20,loa,LOA,approximate,2.3936,0.076065,10.919
20,ccba,CCBA,approximate,2.5886,0.063978,10.512
20,trua,TruA,approximate,2.1493,0.066724,9.308
20,gear,GeAr,approximate,2.8872,0.091236,15.54
20,csa,CSA,approximate,3.1361,0.087564,14.4
21,full,Full (RCA),exact,5.217,0.148294,21.0
21,sklansky,Sklansky,exact,4.6,0.315248,44.642
21,kogge,Kogge-Stone,exact,4.271,0.618239,87.549
21,carrysel,Carry-Select,exact,4.342,0.405082,57.364
21,rbr,RBR,exact,2.194,0.641557,90.851
21,loa,LOA,approximate,2.5256,0.08009,11.529
21,ccba,CCBA,approximate,2.7128,0.067511,11.133
21,trua,TruA,approximate,2.2678,0.070254,9.828
21,gear,GeAr,approximate,3.0259,0.095798,16.317
21,csa,CSA,approximate,3.2867,0.091942,15.12
22,full,Full (RCA),exact,5.456,0.155356,22.0
22,sklansky,Sklansky,exact,4.6,0.331601,46.958
22,kogge,Kogge-Stone,exact,4.271,0.670376,94.932
22,carrysel,Carry-Select,exact,4.342,0.424371,60.095
22,rbr,RBR,exact,2.194,0.672107,95.177
22,loa,LOA,approximate,2.6579,0.084115,12.139
22,ccba,CCBA,approximate,2.8371,0.071075,11.763
22,trua,TruA,approximate,2.3867,0.073785,10.348
22,gear,GeAr,approximate,3.1645,0.10036,17.094
22,csa,CSA,approximate,3.4373,0.096321,15.84
23,full,Full (RCA),exact,5.695,0.162418,23.0
23,sklansky,Sklansky,exact,4.6,0.347982,49.278
23,kogge,Kogge-Stone,exact,4.271,0.725512,102.74
23,carrysel,Carry-Select,exact,4.342,0.443661,62.827
23,rbr,RBR,exact,2.194,0.702657,99.504
