bit_precision,multiplier,label,family,latency_ns,energy_nj,area_ge
11,cgpm1,CGPM1,approximate,20.1952,0.598157,57.088
11,tam1,TAM1,approximate,16.5121,0.436537,45.98
11,hocm,HOCM (1StepTrunc),approximate,18.749,0.512861,51.92
11,cgpm3,CGPM3,approximate,23.0316,0.700845,72.561
11,bam,BAM,approximate,13.8686,0.276119,26.626
12,full,Full (RC Array),exact,74.627,1.326533,144.0
12,sklansky,Sklansky,exact,51.542,4.695759,509.742
12,carrysel,Carry-Select,exact,49.668,4.695759,509.742
12,rbr,RBR,exact,68.352,2.995627,325.186
12,mitchell,Mitchell,approximate,13.932,0.338958,48.0
12,alm_soa,ALM-SOA,approximate,15.4743,0.374973,59.94
12,ilm_aa,ILM-AA,approximate,44.5743,0.454628,89.46
12,cgpm1,CGPM1,approximate,22.9864,0.719644,68.544
12,tam1,TAM1,approximate,19.119,0.528844,55.44
12,hocm,HOCM (1StepTrunc),approximate,21.7322,0.616838,62.64
12,cgpm3,CGPM3,approximate,26.2148,0.841519,86.904
12,bam,BAM,approximate,15.5709,0.323111,31.144
13,full,Full (RC Array),exact,87.857,1.561703,169.0
13,sklansky,Sklansky,exact,57.104,5.522136,597.579
13,carrysel,Carry-Select,exact,56.043,5.522136,597.579
13,rbr,RBR,exact,74.152,3.449444,373.282
13,mitchell,Mitchell,approximate,13.932,0.367205,52.0
13,alm_soa,ALM-SOA,approximate,15.5104,0.407574,65.198
13,ilm_aa,ILM-AA,approximate,44.7704,0.49451,97.529
13,cgpm1,CGPM1,approximate,25.9367,0.853275,81.154
13,tam1,TAM1,approximate,21.573,0.612284,64.064
13,hocm,HOCM (1StepTrunc),approximate,24.8955,0.730396,74.36
13,cgpm3,CGPM3,approximate,29.5795,0.99583,102.638
13,bam,BAM,approximate,17.8562,0.389734,37.307
14,full,Full (RC Array),exact,102.165,1.816035,196.0
14,sklansky,Sklansky,exact,62.797,6.415341,692.391
14,carrysel,Carry-Select,exact,62.762,6.415341,692.391
14,rbr,RBR,exact,79.968,3.934675,424.659
14,mitchell,Mitchell,approximate,13.932,0.395451,56.0
14,alm_soa,ALM-SOA,approximate,15.5437,0.440385,70.497
